id;festival;categoria;año;premiado_a
299;Festival de Venecia ; León de Oro - Mejor película: ;1973; Sandra 
300;Festival de Venecia ; León de Oro - Mejor película: ;1972; El desierto rojo 
301;Festival de Venecia ; León de Oro - Mejor película: ;1971; Las manos sobre la ciudad 
302;Festival de Venecia ; León de Oro - Mejor película: ;1970; La infancia de Iván 
303;Festival de Venecia ; León de Oro - Mejor película: ;1969; Crónica familiar 
304;Festival de Venecia ; León de Oro - Mejor película: ;1968; El año pasado en Marienbad 
305;Festival de Venecia ; León de Oro - Mejor película: ;1967; El paso del Rhin 
306;Festival de Venecia ; León de Oro - Mejor película: ;1966; La gran guerra 
307;Festival de Venecia ; León de Oro - Mejor película: ;1965; El general de la Rovere 
308;Festival de Venecia ; León de Oro - Mejor película: ;1964; El hombre del carrito 
309;Festival de Venecia ; León de Oro - Mejor película: ;1963; Aparajito (El invencible) 
310;Festival de Venecia ; León de Oro - Mejor película: ;1962; Ordet (La palabra) 
311;Festival de Venecia ; León de Oro - Mejor película: ;1961; Romeo y Julieta 
312;Festival de Venecia ; León de Oro - Mejor película: ;1960; Juegos prohibidos 
313;Festival de Venecia ; León de Oro - Mejor película: ;1959; Rashomon 
314;Festival de Venecia ; León de Oro - Mejor película: ;1958; Justicia cumplida 
315;Festival de Venecia ; León de Oro - Mejor película: ;1957; Manon 
316;Festival de Venecia ; León de Oro - Mejor película: ;1956; Hamlet 
317;Festival de Venecia ; León de Oro - Mejor película: ;1955; Sirena 
318;Festival de Venecia ; León de Oro - Mejor película: ;1954; El sureño (El hombre del sur) 
319;Festival de Venecia ; León de Oro - Mejor película: ;1953; Viva la libertad 
320;Festival de Venecia ; León de Oro - Mejor película: ;1952; El hombre y el monstruo 
321;Festival de Venecia ; León de Oro - Mejor película: ;1951; Muchachas de uniforme 
322;Festival de Venecia ; León de Oro - Mejor película: ;1950; El pecado de Madelon Claudet 
323;Festival de Venecia ; Gran Premio del Jurado: ;2022; Saint Omer. El pueblo contra Laurence Coly 
324;Festival de Venecia ; Gran Premio del Jurado: ;2021; Fue la mano de Dios 
325;Festival de Venecia ; Gran Premio del Jurado: ;2020; Nuevo orden 
326;Festival de Venecia ; Gran Premio del Jurado: ;2019; El oficial y el espía 
327;Festival de Venecia ; Gran Premio del Jurado: ;2018; La favorita 
328;Festival de Venecia ; Gran Premio del Jurado: ;2017; Foxtrot 
329;Festival de Venecia ; Gran Premio del Jurado: ;2016; Animales nocturnos 
330;Festival de Venecia ; Gran Premio del Jurado: ;2015; Anomalisa 
331;Festival de Venecia ; Gran Premio del Jurado: ;2014; La mirada del silencio 
332;Festival de Venecia ; Gran Premio del Jurado: ;2013; Stray Dogs 
333;Festival de San Sebastián ; Concha de Oro: Mejor Película: ;2022; Los reyes del mundo 
334;Festival de San Sebastián ; Concha de Oro: Mejor Película: ;2021; Blue Moon 
335;Festival de San Sebastián ; Concha de Oro: Mejor Película: ;2020; Beginning 
336;Festival de San Sebastián ; Concha de Oro: Mejor Película: ;2019; Pacificado 
337;Festival de San Sebastián ; Concha de Oro: Mejor Película: ;2018; Entre dos aguas 
